Statement,Type of Fallacy
"The social media influencer claims that the Earth is hollow and inhabited by dinosaurs.",Irrelevant Authority
"My favorite musician says that this album is outstanding, so I'm listening to it.",Irrelevant Authority
"This ancient text says the Earth is the center of the universe, so it must be true.",Irrelevant Authority
"My favorite musician says that this song is uplifting, so I'm listening to it.",Irrelevant Authority
"This ancient proverb says that an apple a day keeps the doctor away, so it must be true.",Irrelevant Authority
"The famous chef says that this dish is incredible, so I'm trying it.",Irrelevant Authority
"The movie star claims that wearing crystals can protect you from negative energy.",Irrelevant Authority
"My doctor recommended this specific brand of multivitamins, so they must be the best.",Irrelevant Authority
"The famous historian believes in this theory, so it must be historically accurate.",Irrelevant Authority
"The cashier at the gas station suggests that we should base our foreign policy on the teachings of fortune cookies.",Irrelevant Authority
"The plumber claims that the secret to world peace lies in perfecting the art of balloon twisting.",Irrelevant Authority
"My mechanic says that climate change is a hoax, so I trust his opinion on the matter.",Irrelevant Authority
"The celebrity chef believes that the Illuminati control the world's banks.",Irrelevant Authority
"My yoga instructor suggests that we should solve overpopulation by teaching penguins to do calculus.",Irrelevant Authority
"The renowned biologist says that this species is endangered, so it's essential to protect it.",Irrelevant Authority
"This politician is endorsed by a popular celebrity, so they must be trustworthy.",Irrelevant Authority
"The former child star insists that vaccines are a government plot to depopulate the planet.",Irrelevant Authority
"According to a famous athlete, chemtrails are poisoning the atmosphere.",Irrelevant Authority
"My favorite musician says that this album is a masterpiece, so I'm listening to it.",Irrelevant Authority
"According to a famous singer, vaccines are a form of mind manipulation.",Irrelevant Authority
"The barista at the coffee shop claims that the secret to longevity is by singing show tunes in the shower.",Irrelevant Authority
"The acclaimed director says that this film is a must-see, so I'm watching it.",Irrelevant Authority
"The Nobel laureate endorses this educational program, so it must be effective.",Irrelevant Authority
"According to the mail carrier, the best way to achieve equality is by giving everyone a pet dinosaur.",Irrelevant Authority
"The pop star tweeted that the Earth is flat, so it must be true.",Irrelevant Authority
"A well-known actor spoke out against this proposed law, so it must be a bad idea.",Irrelevant Authority
"The renowned biologist says that this species is vital to biodiversity, so it must be protected.",Irrelevant Authority
"A well-known actor spoke out against this war, so it must be unjust.",Irrelevant Authority
"The top model says that this skincare product keeps her skin flawless, so I'm buying it.",Irrelevant Authority
"The fashion designer says that eating only raw meat will make you live forever.",Irrelevant Authority
"This ancient proverb says that a rolling stone gathers no moss, so it must be true.",Irrelevant Authority
"The talk show host believes that the Illuminati control the food and drug administration.",Irrelevant Authority
"The famous chef says that this recipe is perfect, so I'm cooking it.",Irrelevant Authority
"My grandmother says that eating carrots improves eyesight, so it must be true.",Irrelevant Authority
"The renowned biologist says that this species is endangered, so it's crucial to protect it.",Irrelevant Authority
"According to a celebrity chef, the Earth is flat and enclosed by a dome.",Irrelevant Authority
"The tour guide suggests that we should solve corruption by appointing a team of psychic detectives.",Irrelevant Authority
"My favorite musician says that this song is addictive, so I'm listening to it.",Irrelevant Authority
"The park ranger claims that the best way to achieve world peace is by teaching bears to write poetry.",Irrelevant Authority
"According to a celebrity chef, the Earth is flat and supported by giant turtles.",Irrelevant Authority
"A popular YouTuber recommends this brand of computer, so it must be the best for gaming.",Irrelevant Authority
"My hairdresser claims that the solution to homelessness is by building houses out of recycled cardboard.",Irrelevant Authority
"A well-known musician insists that chemtrails are responsible for hurricanes.",Irrelevant Authority
"My favorite chef says that this cooking technique produces the best results, so I'm using it.",Irrelevant Authority
"The TV personality says that drinking bleach can cure cancer.",Irrelevant Authority
"According to a famous singer, the government is hiding evidence of time travel.",Irrelevant Authority
"My hairdresser claims that the solution to homelessness is by building houses out of recycled soda cans.",Irrelevant Authority
"My favorite musician says that this album is extraordinary, so I'm listening to it.",Irrelevant Authority
"According to a celebrity chef, the Earth is flat and surrounded by ice walls.",Irrelevant Authority
"This self-help book by a celebrity claims to have the secret to happiness.",Irrelevant Authority
"My favorite singer uses this brand of microphone, so it must have the best sound quality.",Irrelevant Authority
"The famous chef says that this recipe is irresistible, so I'm cooking it.",Irrelevant Authority
"This ancient proverb says actions speak louder than words, so it's more important to do things than just talk about them.",Irrelevant Authority
"The fashion designer says that eating only organic food will make you immune to disease.",Irrelevant Authority
"The respected scientist says that this experiment proves a hypothesis, so it must be valid.",Irrelevant Authority
"The respected economist says that this theory elucidates economic trends, so I'm studying it.",Irrelevant Authority
"A famous chef uses this brand of olive oil, so it must be the highest quality.",Irrelevant Authority
"This politician is endorsed by a popular sports team, so they must be a good leader.",Irrelevant Authority
"My favorite musician says that this guitar brand is the best, so I'm buying one.",Irrelevant Authority
"My yoga instructor believes that the key to overpopulation is by teaching kangaroos to do yoga.",Irrelevant Authority
"This talk show host interviewed a self-proclaimed relationship expert who gave advice on how to find love.",Irrelevant Authority
"My cousin, a veterinarian, recommends this brand of pet food for my dog.",Irrelevant Authority
"According to a famous singer, chemtrails are poisoning the water supply.",Irrelevant Authority
"The acclaimed author says that this book is a must-read, so I'm reading it.",Irrelevant Authority
"I saw a post on social media about a home remedy for hair loss, and it had hundreds of positive comments.",Irrelevant Authority
"My favorite musician says that this song is inspiring, so I'm listening to it.",Irrelevant Authority
"The social media influencer claims that wearing a tin foil hat protects you from radiation.",Irrelevant Authority
"The plumber claims that the secret to world peace lies in perfecting the art of sandcastle building.",Irrelevant Authority
"The respected doctor says that this medication is effective, so I'm taking it.",Irrelevant Authority
"The renowned economist says that this investment strategy is foolproof, so I'm investing.",Irrelevant Authority
"This talk show host interviewed a self-proclaimed financial guru who gave advice on how to get rich quick.",Irrelevant Authority
"My personal trainer says that this exercise equipment is the best, so I'm buying it.",Irrelevant Authority
"According to a famous athlete, chemtrails are a government plot to control the weather.",Irrelevant Authority
"A famous musician says that chemtrails are poisoning the population.",Irrelevant Authority
"My favorite actor says that this play is amazing, so I'm going to see it.",Irrelevant Authority
"A well-known actor spoke out against this political candidate, so I'm not going to vote for them.",Irrelevant Authority
"According to a famous singer, the government is hiding evidence of Bigfoot.",Irrelevant Authority
"My yoga instructor claims that the solution to overpopulation is by teaching penguins to do calculus.",Irrelevant Authority
"My favorite celebrity says that this fashion trend is hot, so I'm following it.",Irrelevant Authority
"My dentist says that aliens exist, so it must be true.",Irrelevant Authority
"My neighbor, a retired doctor, thinks this new medical treatment is risky.",Irrelevant Authority
"The cashier at the gas station believes that the best way to achieve equality is by instituting a national dress code of pajamas.",Irrelevant Authority
"The famous chef says that this recipe is amazing, so I'm cooking it.",Irrelevant Authority
"My favorite actor says that this performance is remarkable, so I'm watching it.",Irrelevant Authority
"A famous comedian spoke out against this new technology, so I'm hesitant to use it.",Irrelevant Authority
"According to a famous singer, the moon landing never happened.",Irrelevant Authority
"The Instagram influencer insists that the Earth is hollow and inhabited by aliens.",Irrelevant Authority
"The social media influencer claims that the Earth is hollow and inhabited by reptilian overlords.",Irrelevant Authority
"My favorite musician says that this song is soulful, so I'm listening to it.",Irrelevant Authority
"The Instagram influencer insists that chemtrails are poisoning the atmosphere.",Irrelevant Authority
"This ancient proverb says slow and steady wins the race, so it's better to take your time and do things carefully.",Irrelevant Authority
"This influencer swears by this brand of protein powder, so it must be effective for muscle growth.",Irrelevant Authority
"The lifeguard at the beach insists that the secret to world peace lies in perfecting the art of sandcastle building.",Irrelevant Authority
"According to a famous athlete, the Illuminati control the energy industry.",Irrelevant Authority
"According to the crossing guard, the solution to happiness is by starting a global trend of wearing socks with sandals.",Irrelevant Authority
"The renowned artist says that this painting is a masterpiece, so I'm admiring it.",Irrelevant Authority
"According to a famous singer, vaccines are a government experiment gone wrong.",Irrelevant Authority
"My uncle, a construction worker, believes this building project is unsafe.",Irrelevant Authority
"The former child star insists that vaccines are a government plot to control the population.",Irrelevant Authority
"This influencer uses this editing software for their photos, so it must be the best.",Irrelevant Authority
"The former child star insists that the government is using satellites to spy on us.",Irrelevant Authority
"According to a celebrity chef, chemtrails are a government conspiracy.",Irrelevant Authority
"The famous chef says that this dish is exquisite, so I'm trying it.",Irrelevant Authority
"According to the flight attendant, the key to longevity is by drinking a potion made from unicorn tears.",Irrelevant Authority
"According to the crossing guard, the solution to happiness is by organizing a worldwide game of tag.",Irrelevant Authority
"The librarian believes that the best way to combat deforestation is by forming a coalition of tap-dancing trees.",Irrelevant Authority
"A popular musician promotes this brand of headphones, so they must have the best sound quality.",Irrelevant Authority
"The street performer believes that the best way to combat deforestation is by training beavers to be lumberjacks.",Irrelevant Authority
"I saw a video where a celebrity talked about the benefits of this specific meditation app, so I downloaded it.",Irrelevant Authority
"A popular singer promotes this brand of perfume, so it must smell amazing.",Irrelevant Authority
