Statement,Type of Fallacy
Why did you choose to ignore my advice?,Loaded Question
Why do you always seem to find fault with everything I do?,Loaded Question
Why do you never consider my feelings?,Loaded Question
Why did you decide to leave me hanging like that?,Loaded Question
Why do you insist on twisting my words?,Loaded Question
Why do you never apologize when you're wrong?,Loaded Question
Why do you keep pretending like everything is fine?,Loaded Question
Why did you have to ruin the surprise?,Loaded Question
Why do you always make me feel like I'm not good enough?,Loaded Question
Why do you never take my side in an argument?,Loaded Question
Why do you insist on bringing up the past?,Loaded Question
Why did you have to make things so complicated?,Loaded Question
Why do you always have to be right?,Loaded Question
Why do you never listen to what I have to say?,Loaded Question
Why did you have to go behind my back?,Loaded Question
Why do you always play the victim?,Loaded Question
Why do you never give me a straight answer?,Loaded Question
Why do you have to be so controlling all the time?,Loaded Question
Why did you have to embarrass me like that?,Loaded Question
Why do you never trust me?,Loaded Question
Why do you always have to question everything I do?,Loaded Question
Why did you have to ruin my day?,Loaded Question
Why do you never appreciate all the things I do for you?,Loaded Question
Why do you always have to make things so difficult?,Loaded Question
Why did you have to make me feel so worthless?,Loaded Question
Why do you never show any gratitude?,Loaded Question
Why do you always have to make a big deal out of everything?,Loaded Question
Why did you have to go and ruin our friendship?,Loaded Question
Why do you never support me when I need it the most?,Loaded Question
Why do you always have to be so negative?,Loaded Question
Why did you have to make me feel so small?,Loaded Question
Why do you never take my opinions into consideration?,Loaded Question
Why do you always try to undermine me?,Loaded Question
Why did you have to make me look like a fool?,Loaded Question
Why do you never give me the benefit of the doubt?,Loaded Question
Why do you always have to criticize me in front of others?,Loaded Question
Why did you have to ruin the moment?,Loaded Question
Why do you never let me have any say in the matter?,Loaded Question
Why do you always have to bring up old wounds?,Loaded Question
Why did you have to go and spoil the surprise?,Loaded Question
Why do you never take me seriously?,Loaded Question
Why do you always have to be so selfish?,Loaded Question
Why did you have to betray my trust?,Loaded Question
Why do you never consider my needs?,Loaded Question
Why do you always make me feel like I'm walking on eggshells?,Loaded Question
Why did you have to go and make things awkward?,Loaded Question
Why do you never respect my boundaries?,Loaded Question
Why do you always have to pick a fight?,Loaded Question
Why did you have to go and ruin everything?,Loaded Question
Why do you never take the time to understand me?,Loaded Question
Why do you always have to be so insensitive?,Loaded Question
Why did you have to make me feel so insecure?,Loaded Question
