Statement,Type of Fallacy
"Sure, we could address climate change, but what about the problem of world hunger? That's a much bigger issue.",Appeal to Worse Problems Fallacy
Why are we worried about gun control when there are so many other crimes happening in our ciAes?,Appeal to Worse Problems Fallacy
"Yes, there's corrupAon in our government, but it's nothing compared to the corrupAon in other countries.",Appeal to Worse Problems Fallacy
Why are we focusing on police brutality when there are so many other issues in our society?,Appeal to Worse Problems Fallacy
"Yes, there's poverty in our country, but it's nothing compared to the poverty in developing countries.",Appeal to Worse Problems Fallacy
"Sure, we could work on improving educaAon, but what about the problem of homelessness? That's a much more pressing issue.",Appeal to Worse Problems Fallacy
Why are we concerned about animal welfare when there are so many human rights issues that need to be addressed?,Appeal to Worse Problems Fallacy
"Yes, there's discriminaAon in our workplace, but it's nothing compared to the discriminaAon faced by marginalized communiAes.",Appeal to Worse Problems Fallacy
"Sure, we could work on reducing plasAc waste, but what about the problem of air polluAon? That's a much bigger issue.",Appeal to Worse Problems Fallacy
Why are we worried about mental health when there are so many other health issues that need to be addressed?,Appeal to Worse Problems Fallacy
"Yes, there's inequality in our society, but it's nothing compared to the inequality in other countries.",Appeal to Worse Problems Fallacy
"Sure, we could work on improving our healthcare system, but what about the problem of unemployment? That's a much more pressing issue.",Appeal to Worse Problems Fallacy
Why are we concerned about climate change when there are so many other environmental issues that need to be addressed?,Appeal to Worse Problems Fallacy
"Yes, there's corrupAon in our schools, but it's nothing compared to the corrupAon in other insAtuAons.",Appeal to Worse Problems Fallacy
"Sure, we could work on reducing carbon emissions, but what about the problem of water polluAon? That's a much bigger issue.",Appeal to Worse Problems Fallacy
Why are we worried about cybersecurity when there are so many other security issues that need to be addressed?,Appeal to Worse Problems Fallacy
"Yes, there's discriminaAon in our courts, but it's nothing compared to the discriminaAon faced by minority communiAes.",Appeal to Worse Problems Fallacy
"Sure, we could work on improving our transportaAon system, but what about the problem of food deserts? That's a much more pressing issue.",Appeal to Worse Problems Fallacy
Why are we concerned about immigraAon when there are so many other social issues that need to be addressed?,Appeal to Worse Problems Fallacy
"Yes, there's inequality in our jusAce system, but it's nothing compared to the inequality in other systems.",Appeal to Worse Problems Fallacy
"Sure, we could work on reducing waste, but what about the problem of energy consumpAon? That's a much bigger issue.",Appeal to Worse Problems Fallacy
Why are we worried about gun violence when there are so many other forms of violence that need to be addressed?,Appeal to Worse Problems Fallacy
"Yes, there's corrupAon in our corporaAons, but it's nothing compared to the corrupAon in other industries.",Appeal to Worse Problems Fallacy
"Sure, we could work on improving our infrastructure, but what about the problem of housing affordability? That's a much more pressing issue.",Appeal to Worse Problems Fallacy
Why are we concerned about educaAon reform when there are so many other societal issues that need to be addressed?,Appeal to Worse Problems Fallacy
"Yes, there's discriminaAon in our housing market, but it's nothing compared to the discriminaAon faced by certain groups.",Appeal to Worse Problems Fallacy
"Sure, we could work on reducing air polluAon, but what about the problem of land polluAon? That's a much bigger issue.",Appeal to Worse Problems Fallacy
Why are we worried about online harassment when there are so many other forms of harassment that need to be addressed?,Appeal to Worse Problems Fallacy
